Module	Section	Sample Name	Source
FastQC	all_sections	15-3_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/15-3_R1_75_cleaned_fastqc.zip
FastQC	all_sections	H36T3S1_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/H36T3S1_R1_75_cleaned_fastqc.zip
FastQC	all_sections	C36T2S1_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/C36T2S1_R2_75_cleaned_fastqc.zip
FastQC	all_sections	10-18_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/10-18_R1_75_cleaned_fastqc.zip
FastQC	all_sections	10-28_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/10-28_R1_75_cleaned_fastqc.zip
FastQC	all_sections	10-30_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/10-30_R1_75_cleaned_fastqc.zip
FastQC	all_sections	10-30_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/10-30_R2_75_cleaned_fastqc.zip
FastQC	all_sections	C36T1S1_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/C36T1S1_R2_75_cleaned_fastqc.zip
FastQC	all_sections	12-2_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/12-2_R2_75_cleaned_fastqc.zip
FastQC	all_sections	H2T3S2_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/H2T3S2_R2_75_cleaned_fastqc.zip
FastQC	all_sections	H36T1S1_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/H36T1S1_R2_75_cleaned_fastqc.zip
FastQC	all_sections	H2T3S2_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/H2T3S2_R1_75_cleaned_fastqc.zip
FastQC	all_sections	10-32_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/10-32_R2_75_cleaned_fastqc.zip
FastQC	all_sections	12-7_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/12-7_R1_75_cleaned_fastqc.zip
FastQC	all_sections	C2T1S2_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/C2T1S2_R2_75_cleaned_fastqc.zip
FastQC	all_sections	15-3_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/15-3_R2_75_cleaned_fastqc.zip
FastQC	all_sections	10-18_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/10-18_R2_75_cleaned_fastqc.zip
FastQC	all_sections	C2T2S2_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/C2T2S2_R2_75_cleaned_fastqc.zip
FastQC	all_sections	10-17_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/10-17_R1_75_cleaned_fastqc.zip
FastQC	all_sections	13-13_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/13-13_R2_75_cleaned_fastqc.zip
FastQC	all_sections	13-9_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/13-9_R1_75_cleaned_fastqc.zip
FastQC	all_sections	12-2_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/12-2_R1_75_cleaned_fastqc.zip
FastQC	all_sections	15-6_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/15-6_R2_75_cleaned_fastqc.zip
FastQC	all_sections	13-10_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/13-10_R1_75_cleaned_fastqc.zip
FastQC	all_sections	H36T1S1_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/H36T1S1_R1_75_cleaned_fastqc.zip
FastQC	all_sections	C36T3S1_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/C36T3S1_R2_75_cleaned_fastqc.zip
FastQC	all_sections	14-11_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/14-11_R2_75_cleaned_fastqc.zip
FastQC	all_sections	C2T1S2_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/C2T1S2_R1_75_cleaned_fastqc.zip
FastQC	all_sections	12-7_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/12-7_R2_75_cleaned_fastqc.zip
FastQC	all_sections	14-8_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/14-8_R2_75_cleaned_fastqc.zip
FastQC	all_sections	10-20_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/10-20_R1_75_cleaned_fastqc.zip
FastQC	all_sections	H36T3S1_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/H36T3S1_R2_75_cleaned_fastqc.zip
FastQC	all_sections	H2T1S2_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/H2T1S2_R2_75_cleaned_fastqc.zip
FastQC	all_sections	14-12_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/14-12_R1_75_cleaned_fastqc.zip
FastQC	all_sections	10-17_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/10-17_R2_75_cleaned_fastqc.zip
FastQC	all_sections	C2T3S1_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/C2T3S1_R2_75_cleaned_fastqc.zip
FastQC	all_sections	H2T1S2_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/H2T1S2_R1_75_cleaned_fastqc.zip
FastQC	all_sections	14-12_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/14-12_R2_75_cleaned_fastqc.zip
FastQC	all_sections	14-11_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/14-11_R1_75_cleaned_fastqc.zip
FastQC	all_sections	C36T2S1_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/C36T2S1_R1_75_cleaned_fastqc.zip
FastQC	all_sections	12-14_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/12-14_R1_75_cleaned_fastqc.zip
FastQC	all_sections	10-32_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/10-32_R1_75_cleaned_fastqc.zip
FastQC	all_sections	13-9_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/13-9_R2_75_cleaned_fastqc.zip
FastQC	all_sections	14-8_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/14-8_R1_75_cleaned_fastqc.zip
FastQC	all_sections	13-10_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/13-10_R2_75_cleaned_fastqc.zip
FastQC	all_sections	15-6_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/15-6_R1_75_cleaned_fastqc.zip
FastQC	all_sections	H36T2S1_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/H36T2S1_R1_75_cleaned_fastqc.zip
FastQC	all_sections	H2T2S1_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/H2T2S1_R1_75_cleaned_fastqc.zip
FastQC	all_sections	H2T2S1_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/H2T2S1_R2_75_cleaned_fastqc.zip
FastQC	all_sections	10-20_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/10-20_R2_75_cleaned_fastqc.zip
FastQC	all_sections	H36T2S1_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/H36T2S1_R2_75_cleaned_fastqc.zip
FastQC	all_sections	C36T3S1_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/C36T3S1_R1_75_cleaned_fastqc.zip
FastQC	all_sections	13-13_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/13-13_R1_75_cleaned_fastqc.zip
FastQC	all_sections	C36T1S1_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/C36T1S1_R1_75_cleaned_fastqc.zip
FastQC	all_sections	10-28_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/10-28_R2_75_cleaned_fastqc.zip
FastQC	all_sections	12-14_R2_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/12-14_R2_75_cleaned_fastqc.zip
FastQC	all_sections	C2T3S1_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/C2T3S1_R1_75_cleaned_fastqc.zip
FastQC	all_sections	C2T2S2_R1_75_cleaned	/Users/hputnam/MyProjects/Taiwan_Pacuta_adult_GCC/BioInf/Cleaned_QC_Files/C2T2S2_R1_75_cleaned_fastqc.zip
